cell_id	cell_index	n	m	marker_ratio	marker_ratio_code	truth_sigma_g2	truth_sigma_e2	truth_ratio	ridge
n0120_m0060_q0500_r020	1	120	60	0.5	q0500	0.2	0.8	0.2	0.01
n0120_m0060_q0500_r050	2	120	60	0.5	q0500	0.5	0.5	0.5	0.01
n0120_m0060_q0500_r080	3	120	60	0.5	q0500	0.8	0.2	0.8	0.01
n0120_m0400_q3333_r020	4	120	400	3.33333333333333	q3333	0.2	0.8	0.2	0.01
n0120_m0400_q3333_r050	5	120	400	3.33333333333333	q3333	0.5	0.5	0.5	0.01
n0120_m0400_q3333_r080	6	120	400	3.33333333333333	q3333	0.8	0.2	0.8	0.01
n0120_m0600_q5000_r020	7	120	600	5	q5000	0.2	0.8	0.2	0.01
n0120_m0600_q5000_r050	8	120	600	5	q5000	0.5	0.5	0.5	0.01
n0120_m0600_q5000_r080	9	120	600	5	q5000	0.8	0.2	0.8	0.01
n0300_m0150_q0500_r020	10	300	150	0.5	q0500	0.2	0.8	0.2	0.01
n0300_m0150_q0500_r050	11	300	150	0.5	q0500	0.5	0.5	0.5	0.01
n0300_m0150_q0500_r080	12	300	150	0.5	q0500	0.8	0.2	0.8	0.01
n0300_m1000_q3333_r020	13	300	1000	3.33333333333333	q3333	0.2	0.8	0.2	0.01
n0300_m1000_q3333_r050	14	300	1000	3.33333333333333	q3333	0.5	0.5	0.5	0.01
n0300_m1000_q3333_r080	15	300	1000	3.33333333333333	q3333	0.8	0.2	0.8	0.01
n0300_m1500_q5000_r020	16	300	1500	5	q5000	0.2	0.8	0.2	0.01
n0300_m1500_q5000_r050	17	300	1500	5	q5000	0.5	0.5	0.5	0.01
n0300_m1500_q5000_r080	18	300	1500	5	q5000	0.8	0.2	0.8	0.01
n0600_m0300_q0500_r020	19	600	300	0.5	q0500	0.2	0.8	0.2	0.01
n0600_m0300_q0500_r050	20	600	300	0.5	q0500	0.5	0.5	0.5	0.01
n0600_m0300_q0500_r080	21	600	300	0.5	q0500	0.8	0.2	0.8	0.01
n0600_m2000_q3333_r020	22	600	2000	3.33333333333333	q3333	0.2	0.8	0.2	0.01
n0600_m2000_q3333_r050	23	600	2000	3.33333333333333	q3333	0.5	0.5	0.5	0.01
n0600_m2000_q3333_r080	24	600	2000	3.33333333333333	q3333	0.8	0.2	0.8	0.01
n0600_m3000_q5000_r020	25	600	3000	5	q5000	0.2	0.8	0.2	0.01
n0600_m3000_q5000_r050	26	600	3000	5	q5000	0.5	0.5	0.5	0.01
n0600_m3000_q5000_r080	27	600	3000	5	q5000	0.8	0.2	0.8	0.01
n1200_m0600_q0500_r020	28	1200	600	0.5	q0500	0.2	0.8	0.2	0.01
n1200_m0600_q0500_r050	29	1200	600	0.5	q0500	0.5	0.5	0.5	0.01
n1200_m0600_q0500_r080	30	1200	600	0.5	q0500	0.8	0.2	0.8	0.01
n1200_m4000_q3333_r020	31	1200	4000	3.33333333333333	q3333	0.2	0.8	0.2	0.01
n1200_m4000_q3333_r050	32	1200	4000	3.33333333333333	q3333	0.5	0.5	0.5	0.01
n1200_m4000_q3333_r080	33	1200	4000	3.33333333333333	q3333	0.8	0.2	0.8	0.01
n1200_m6000_q5000_r020	34	1200	6000	5	q5000	0.2	0.8	0.2	0.01
n1200_m6000_q5000_r050	35	1200	6000	5	q5000	0.5	0.5	0.5	0.01
n1200_m6000_q5000_r080	36	1200	6000	5	q5000	0.8	0.2	0.8	0.01
